pack,task,candidate_kind,candidate_id,sha256,format,bytes,recorded_capture,recorded_in_test_verdict,nodeid,dir
deep-swe,cattrs-partial-structuring-recovery,mutant,test_base_fails_through_the_real_capture_path[cattrs-partial-structuring-recovery]#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_first_wave_replay_v2.py::test_base_fails_through_the_real_capture_path[cattrs-partial-structuring-recovery],runs/campaign/phase1/candidates/deep-swe/cattrs-partial-structuring-recovery/e3b0c44298fc1c14
deep-swe,cattrs-partial-structuring-recovery,reference,test_reference_passes_in_fresh_evaluations[cattrs-partial-structuring-recovery]#1,6050a6735eee8de72939d81ead6274658915dc4512d5d2995280a9a9fdafb1b5,patch,24810,captured,passed,tests/test_deepswe_first_wave_replay_v2.py::test_reference_passes_in_fresh_evaluations[cattrs-partial-structuring-recovery],runs/campaign/phase1/candidates/deep-swe/cattrs-partial-structuring-recovery/6050a6735eee8de7
deep-swe,cattrs-partial-structuring-recovery,mutant,test_incomplete_implementation_mutant_fails[cattrs-partial-structuring-recovery]#1,901ca0427bf0298aad4a8c8536a90f8a7d9b4edab5d61583bcbd46323cd9c52b,patch,1724,captured,failed,tests/test_deepswe_first_wave_replay_v2.py::test_incomplete_implementation_mutant_fails[cattrs-partial-structuring-recovery],runs/campaign/phase1/candidates/deep-swe/cattrs-partial-structuring-recovery/901ca0427bf0298a
deep-swe,cattrs-partial-structuring-recovery,mutant,test_targeted_real_code_mutant_fails[nested-partial-field-misclassified]#1,01a5565708712a36b7d050878ae92b2c975d95329a4eef45487582659c318202,patch,25041,captured,failed,tests/test_deepswe_cattrs_partial_structuring_recovery_mutants_v2.py::test_targeted_real_code_mutant_fails[nested-partial-field-misclassified],runs/campaign/phase1/candidates/deep-swe/cattrs-partial-structuring-recovery/01a5565708712a36
deep-swe,cattrs-partial-structuring-recovery,mutant,test_targeted_real_code_mutant_fails[refine-overwrites-structured-fields]#1,57c3f1c5a7b33c650197b816648836c63878b6941c3e58a3ac09f118a04b8160,patch,24847,captured,failed,tests/test_deepswe_cattrs_partial_structuring_recovery_mutants_v2.py::test_targeted_real_code_mutant_fails[refine-overwrites-structured-fields],runs/campaign/phase1/candidates/deep-swe/cattrs-partial-structuring-recovery/57c3f1c5a7b33c65
deep-swe,cattrs-partial-structuring-recovery,mutant,test_targeted_real_code_mutant_fails[init-false-fields-not-excluded]#1,ef0f243bd83880ba0e4081707ec4b0195c755302cdab11acd6ccd5eea0e4b1b1,patch,24846,captured,failed,tests/test_deepswe_cattrs_partial_structuring_recovery_mutants_v2.py::test_targeted_real_code_mutant_fails[init-false-fields-not-excluded],runs/campaign/phase1/candidates/deep-swe/cattrs-partial-structuring-recovery/ef0f243bd83880ba
deep-swe,fd-deterministic-multi-key-sorting,base,test_base_fails_through_the_real_capture_path[fd-deterministic-multi-key-sorting]#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_first_wave_replay_v2.py::test_base_fails_through_the_real_capture_path[fd-deterministic-multi-key-sorting],runs/campaign/phase1/candidates/deep-swe/fd-deterministic-multi-key-sorting/e3b0c44298fc1c14
deep-swe,fd-deterministic-multi-key-sorting,reference,test_reference_passes_in_fresh_evaluations[fd-deterministic-multi-key-sorting]#1,3f178867b817d3a1ea8929578c8b8e9624fc62e5561049026df22d2a85d5ecea,patch,26288,captured,passed,tests/test_deepswe_first_wave_replay_v2.py::test_reference_passes_in_fresh_evaluations[fd-deterministic-multi-key-sorting],runs/campaign/phase1/candidates/deep-swe/fd-deterministic-multi-key-sorting/3f178867b817d3a1
deep-swe,fd-deterministic-multi-key-sorting,mutant,test_incomplete_implementation_mutant_fails[fd-deterministic-multi-key-sorting]#1,d40eda54a6d4534e6d38e5b3ef3b7c04bc467ec669d90694f6b6206a3c042b84,patch,12377,captured,failed,tests/test_deepswe_first_wave_replay_v2.py::test_incomplete_implementation_mutant_fails[fd-deterministic-multi-key-sorting],runs/campaign/phase1/candidates/deep-swe/fd-deterministic-multi-key-sorting/d40eda54a6d4534e
deep-swe,fd-deterministic-multi-key-sorting,malicious,test_targeted_real_code_mutant_fails[type-rank-swaps-symlink-and-file]#1,d3cdea2852894420c6bf5f7c2f1c7457ac65cecfe8fddc06758d62fce9267f98,patch,26341,captured,failed,tests/test_deepswe_fd_deterministic_multi_key_sorting_mutants_v2.py::test_targeted_real_code_mutant_fails[type-rank-swaps-symlink-and-file],runs/campaign/phase1/candidates/deep-swe/fd-deterministic-multi-key-sorting/d3cdea2852894420
deep-swe,fd-deterministic-multi-key-sorting,mutant,test_targeted_real_code_mutant_fails[size-defined-for-non-files]#1,84869b6d951d2a95870440ce8b0a870af0c2d30d53dedcb8289664e1e87b1f7e,patch,26226,captured,failed,tests/test_deepswe_fd_deterministic_multi_key_sorting_mutants_v2.py::test_targeted_real_code_mutant_fails[size-defined-for-non-files],runs/campaign/phase1/candidates/deep-swe/fd-deterministic-multi-key-sorting/84869b6d951d2a95
deep-swe,fd-deterministic-multi-key-sorting,mutant,test_targeted_real_code_mutant_fails[natural-sort-leading-zeros]#1,651f181ace4196e6037d669e13afe4ac03d44159ca874a8a1d2dce2be47ed2dc,patch,26399,captured,failed,tests/test_deepswe_fd_deterministic_multi_key_sorting_mutants_v2.py::test_targeted_real_code_mutant_fails[natural-sort-leading-zeros],runs/campaign/phase1/candidates/deep-swe/fd-deterministic-multi-key-sorting/651f181ace4196e6
deep-swe,updo-policy-alerting,base,test_base_fails_through_the_real_capture_path[updo-policy-alerting]#1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,patch,0,captured,failed,tests/test_deepswe_first_wave_replay_v2.py::test_base_fails_through_the_real_capture_path[updo-policy-alerting],runs/campaign/phase1/candidates/deep-swe/updo-policy-alerting/e3b0c44298fc1c14
deep-swe,updo-policy-alerting,reference,test_reference_passes_in_fresh_evaluations[updo-policy-alerting]#1,89e8f9bb37d70b7b27dfab341b9f2425b1e5fec54726aeaad975432e2225d3fb,patch,43265,captured,passed,tests/test_deepswe_first_wave_replay_v2.py::test_reference_passes_in_fresh_evaluations[updo-policy-alerting],runs/campaign/phase1/candidates/deep-swe/updo-policy-alerting/89e8f9bb37d70b7b
deep-swe,updo-policy-alerting,mutant,test_incomplete_implementation_mutant_fails[updo-policy-alerting]#1,d7e9f09614ffd19a937843667488ae023f0e7d7fdf469446154b10ec7a5853b4,patch,37132,captured,failed,tests/test_deepswe_first_wave_replay_v2.py::test_incomplete_implementation_mutant_fails[updo-policy-alerting],runs/campaign/phase1/candidates/deep-swe/updo-policy-alerting/d7e9f09614ffd19a
