task,candidate_kind,candidate_id,native_verdict,securebench_verdict,agree,sha256,recorded_in_test_verdict,native_reward,native_error,securebench_status,securebench_source,securebench_error
deep-swe/cattrs-partial-structuring-recovery,mutant,test_targeted_real_code_mutant_fails[nested-partial-field-misclassified]#1,fail,fail,yes,01a5565708712a36b7d050878ae92b2c975d95329a4eef45487582659c318202,failed,0,,failed,command-replay,
deep-swe/cattrs-partial-structuring-recovery,mutant,test_targeted_real_code_mutant_fails[refine-overwrites-structured-fields]#1,fail,fail,yes,57c3f1c5a7b33c650197b816648836c63878b6941c3e58a3ac09f118a04b8160,failed,0,,failed,command-replay,
deep-swe/cattrs-partial-structuring-recovery,reference,test_reference_passes_in_fresh_evaluations[cattrs-partial-structuring-recovery]#1,pass,pass,yes,6050a6735eee8de72939d81ead6274658915dc4512d5d2995280a9a9fdafb1b5,passed,1,,passed,command-replay,
deep-swe/cattrs-partial-structuring-recovery,mutant,test_incomplete_implementation_mutant_fails[cattrs-partial-structuring-recovery]#1,fail,fail,yes,901ca0427bf0298aad4a8c8536a90f8a7d9b4edab5d61583bcbd46323cd9c52b,failed,0,,failed,command-replay,
deep-swe/cattrs-partial-structuring-recovery,mutant,test_base_fails_through_the_real_capture_path[cattrs-partial-structuring-recovery]#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/cattrs-partial-structuring-recovery,mutant,test_targeted_real_code_mutant_fails[init-false-fields-not-excluded]#1,fail,fail,yes,ef0f243bd83880ba0e4081707ec4b0195c755302cdab11acd6ccd5eea0e4b1b1,failed,0,,failed,command-replay,
deep-swe/fd-deterministic-multi-key-sorting,reference,test_reference_passes_in_fresh_evaluations[fd-deterministic-multi-key-sorting]#1,pass,pass,yes,3f178867b817d3a1ea8929578c8b8e9624fc62e5561049026df22d2a85d5ecea,passed,1,,passed,command-replay,
deep-swe/fd-deterministic-multi-key-sorting,mutant,test_targeted_real_code_mutant_fails[natural-sort-leading-zeros]#1,fail,fail,yes,651f181ace4196e6037d669e13afe4ac03d44159ca874a8a1d2dce2be47ed2dc,failed,0,,failed,command-replay,
deep-swe/fd-deterministic-multi-key-sorting,mutant,test_targeted_real_code_mutant_fails[size-defined-for-non-files]#1,fail,fail,yes,84869b6d951d2a95870440ce8b0a870af0c2d30d53dedcb8289664e1e87b1f7e,failed,0,,failed,command-replay,
deep-swe/fd-deterministic-multi-key-sorting,malicious,test_targeted_real_code_mutant_fails[type-rank-swaps-symlink-and-file]#1,fail,fail,yes,d3cdea2852894420c6bf5f7c2f1c7457ac65cecfe8fddc06758d62fce9267f98,failed,0,,failed,command-replay,
deep-swe/fd-deterministic-multi-key-sorting,mutant,test_incomplete_implementation_mutant_fails[fd-deterministic-multi-key-sorting]#1,fail,fail,yes,d40eda54a6d4534e6d38e5b3ef3b7c04bc467ec669d90694f6b6206a3c042b84,failed,0,,failed,command-replay,
deep-swe/fd-deterministic-multi-key-sorting,base,test_base_fails_through_the_real_capture_path[fd-deterministic-multi-key-sorting]#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[webhook-custom-headers-dropped]#1,fail,fail,yes,4a28cee7c4a3a9f9894a593758d7587da5ead2388ac7e7f39981b55b69e5f818,failed,0,,failed,command-replay,
deep-swe/updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[config-ssl-threshold-not-inherited]#1,fail,fail,yes,5ca7958edcc10c5933aecb4f466259b4175489791f908f9ca5dce9af7171f73a,failed,0,,failed,command-replay,
deep-swe/updo-policy-alerting,reference,test_reference_passes_in_fresh_evaluations[updo-policy-alerting]#1,pass,pass,yes,89e8f9bb37d70b7b27dfab341b9f2425b1e5fec54726aeaad975432e2225d3fb,passed,1,,passed,command-replay,
deep-swe/updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[cooldown-suppression-disabled]#1,fail,fail,yes,a807d8e90126292b8638588022c7c73012337f26cea87badf7060d6b9802b212,failed,0,,failed,command-replay,
deep-swe/updo-policy-alerting,mutant,test_targeted_real_code_mutant_fails[ssl-expiring-never-rearms]#1,fail,fail,yes,b9eb1ee0b2a6a3cda118be109b29428cdef8dcc2db43052d0294f03ab9cccb50,failed,0,,failed,command-replay,
deep-swe/updo-policy-alerting,mutant,test_incomplete_implementation_mutant_fails[updo-policy-alerting]#1,fail,fail,yes,d7e9f09614ffd19a937843667488ae023f0e7d7fdf469446154b10ec7a5853b4,failed,0,,failed,command-replay,
deep-swe/updo-policy-alerting,base,test_base_fails_through_the_real_capture_path[updo-policy-alerting]#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[alias]#1,fail,fail,yes,1c165f569ad58c01e53153ddd4cb6d2518514f0ea9dc18490ecf4c6ba231208f,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_regression_and_location_mutants_fail[regression]#1,fail,fail,yes,387a725537ec784e234f86b13f4d7bb57c58892784cf6203d068336ea48b4ef3,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[imported_symbol]#1,fail,fail,yes,4cc9327a8f9c7a7a091598ce63198540c701824b1b230444be8c0de867baa1d6,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,malicious,test_go_critic_forged_success_fails[oversized]#1,fail,fail,yes,5f0860810a0357829e0c7b83b1ba8ee4c951f37a55362dc2e6cf1da4e7182025,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,malicious,test_go_critic_forged_success_fails[duplicate]#1,fail,fail,yes,6e666704b1c095020d321b226f6c3e32f610271a687e15f68c702515d2383ff1,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[imported_type]#1,fail,fail,yes,75f742af00f4184dcb6fa8b3137be50d527c619bc388c35848790da9157ca852,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_regression_and_location_mutants_fail[comment_location]#1,fail,fail,yes,7b7de6e5b17d7f38d72abe1599c2d929a06cd032f5978873bc8670cc2dcae537,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[local]#1,fail,fail,yes,85445cf0d56c4d11cf7ecef3e3941c38b3b2f2d175dbba26febb05a84dacbf5c,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[member]#1,fail,fail,yes,97778920185dfed235c36d7ae2cd4c707cfb8c0e69ee9de2137eb3ac722a0fc7,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,base,test_go_critic_command_agent_smoke#1,fail,fail,yes,c8875ef745bf092d8430d788fb420164e9292e4f5c07511348101b89042e7ce9,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[not_type]#1,fail,fail,yes,d0e2cf3bc1eb679cc3a505f93153613bf1af9820087ca62eadccee21cb95a7a4,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,malicious,test_go_critic_forged_success_fails[empty]#1,fail,fail,yes,dbb7dfee132d6017fedf6edd8784e4198a54cb207c54ce4ae154aa1b87409e44,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,base,test_go_critic_base_fails_real_captured_patch#1,fail,fail,yes,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_dropped_diagnostics_mutant_fails#1,fail,fail,yes,ea3257bb84331ede9492e4d0615e5513612140e0d63a98525b44bd343dbea883,failed,0,,failed,command-replay,
deep-swe/go-critic-doc-link-checker,reference,test_go_critic_reference_passes_fresh_evaluations#1,pass,pass,yes,ea83668367006922ae6723bec5701703098e4ea3198119c5e6189ce394523ad0,passed,1,,passed,command-replay,
deep-swe/go-critic-doc-link-checker,mutant,test_go_critic_semantic_mutants_fail[local_type]#1,fail,fail,yes,f713f9ff9d8a55bed4bb326d9a89d834f4632d7cd9758ed479102cfa78b10681,failed,0,,failed,command-replay,
deep-swe/bandit-structured-nosec-directives,mutant,test_incomplete_implementation_mutant_fails#1,fail,fail,yes,10e40a3a87ca2c4433f08acdf8bcb484840653dc5ca1014daca8f150e5efd9d9,failed,0,,failed,command-replay,
