condition,benchmark,task,rep,candidate,original_status,original_verdict,cross_verifier,cross_verdict,agree,reason,original_passed
native,deep-swe,anko-default-function-arguments,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,bandit-structured-nosec-directives,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,cattrs-partial-structuring-recovery,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,csstree-shorthand-expansion-compression,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,dateutil-rfc5545-timezone-interop,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,etree-xml-diff-patch,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,fd-deterministic-multi-key-sorting,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,go-critic-doc-link-checker,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,happy-dom-deterministic-intersectionobserver,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-array-merge-strategies,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-unified-manifest-stream,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,helm-unified-manifest-stream,1,worktree,failed,fail,securebench,pass,no,,False
native,deep-swe,ink-grid-box-layout,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,mashumaro-flattened-dataclass-fields,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,meriyah-explicit-resource-declarations,1,committed,passed,pass,securebench,infrastructure_error,n/a,,True
native,deep-swe,narwhals-rolling-window-suite,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,obsidian-linter-scoped-ignore-markers,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,pest-character-class-coalescing,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,prometheus-typed-label-sorting,1,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,python-statemachine-state-data-scoping,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,returns-validated-error-accumulation,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,skrub-duration-encoding,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,sqlfmt-create-table-ddl-formatting,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,task-task-graph-export,1,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,tengo-callable-instance-isolation,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,tengo-destructuring-bindings,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,termenv-preserve-ansi-resets,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,tomlkit-toml-table-converters,1,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,true-myth-iterable-collection-combinators,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,ts-pattern-match-each,1,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,updo-policy-alerting,1,committed,passed,pass,securebench,fail,no,,True
native,deep-swe,anko-default-function-arguments,2,committed,failed,fail,securebench,pass,no,,False
native,deep-swe,bandit-structured-nosec-directives,2,committed,failed,fail,securebench,fail,yes,,False
native,deep-swe,cattrs-partial-structuring-recovery,2,committed,passed,pass,securebench,pass,yes,,True
native,deep-swe,csstree-shorthand-expansion-compression,2,committed,failed,fail,securebench,fail,yes,,False
