candidate_id,kind
go-critic-doc-link-checker:test_go_critic_forged_success_fails[empty]#1,malicious
distribution-search:test_malformed_ambiguous_and_forged_artifacts_fail[truncated_payload]#1,malicious
dna-assembly:test_malformed_and_forged_primer_artifacts_fail[missing_header_marker]#1,malicious
dna-assembly:test_malformed_and_forged_primer_artifacts_fail[non_dna_character]#1,malicious
dna-insert:test_malformed_and_forged_primer_artifacts_fail[missing_reverse]#1,malicious
dna-insert:test_malformed_and_forged_primer_artifacts_fail[non_dna_forward]#1,malicious
dna-insert:test_malformed_and_forged_primer_artifacts_fail[non_dna_reverse]#1,malicious
"fix-git:test_targeted_mutants_and_forged_claims_fail[\u2003I am a Postdoctoral Researcher at Stanford CS.\n\nPreviously, I was a Student Researcher at [Google Research](https://research.google/), an ML Research Intern at [Apple Health AI](https://machinelearning.apple.com/work-with-us) and a data scientist and the second full-time employee at [HealthRhythms](https://www.healthrhythms.com). -<!DOCTYPE html>\n<html lang=""en"">\n\n<head>\n\n    <!-- Global site tag (gtag.js) - Google Analytics -->\n    <script async src=""https://www.googletagmanager.com/gtag/js?id=UA-148707527-1""></script>\n    <script>\n        window.dataLayer = window.dataLayer || [];\n\n        function gtag() {\n            dataLayer.push(arguments);\n        }\n        gtag('js', new Date());\n\n        gtag('config', 'UA-148707527-1');\n    </script>\n    <meta charset=""utf-8"">\n    <meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">\n    <meta name=""viewport"" content=""width=device-width, initial-scale=1"">\n\n    <title>Mike A. Merrill</title>\n\n    <meta name=""description"" content=""Source code generated using layoutit.com"">\n    <meta name=""author"" content=""LayoutIt!"">\n\n    <link href=""css/bootstrap.min.css"" rel=""stylesheet"">\n    <link href=""css/style.css"" rel=""stylesheet"">\n\n    <link\n        href=""https://fonts.googleapis.com/css?family=Noto+Sans+HK:100,300|Barlow+Condensed|PT+Mono|PT+Serif&display=swap""\n        rel=""stylesheet"">\n\n</head>\n\n<body>\n\n    <div class=""container-fluid"">\n        <div class=""row"">\n            <div class=""jumbotron"">\n                <div class=""row"">\n                    <h3>\n                        Postdoc @ Stanford\n                    </h3>\n                </div>\n                <div class=""row"">\n                    <div class=""col-md-2 hide-on-small"">\n                        <div class=""image-cropper "">\n                            <img src=""./resources/headshot.jpeg"" alt=""avatar"" class=""profile-pic"">\n                        </div>\n                    </div>\n                    <div class=""col-md-10"" id=""name"">\n                        <h1>\n                            Mike Merrill\n                        </h1>\n                    </div>\n\n                    </row>\n                </div>\n            </div>\n        </div>\n\n        <div class=""row"">\n            <div class=""col-md-5"">\n                <h2>\n                    About Me\n                </h2>\n                <p>\n                    {% capture temp %}{% include about.md %}{% endcapture %} {{ temp | markdownify }}\n                </p>\n            </div>\n            <div class=""col-md-4"">\n                <h2>\n                    Research Interests\n                </h2>\n                <ul>\n                    {% capture temp %}{% include interests.md %}{% endcapture %} {{ temp | markdownify }}\n                </ul>\n            </div>\n            <div class=""col-md-3"">\n                <h2>\n                    More on Me\n                </h2>\n                <ul>\n                    {% capture temp %}{% include contact.md %}{% endcapture %} {{ temp | markdownify }}\n                </ul>\n            </div>\n        </div>\n\n        <div class=""row"">\n            <div class=""col-md-12"">\n                <h2>Publications</h2>\n                {% assign sorted_pubs = site.publications | sort: 'year' | reverse %}\n                {% for pub in sorted_pubs %}\n                <div class=""row"">\n                    <div class=""col-md-3 hide-on-small"">\n                        {% if pub.thumb_path %}\n                        <img src=""{{pub.thumb_path}}"" alt=""..."" class=""img-thumbnail""> {% endif %}\n\n                    </div>\n                    <div class=""col-md-9"">\n                        <p><b>{{pub.title}}</b></p>\n                        <p>\n                            {% if pub.author contains ""Michael Merrill"" %}\n                            {% assign a = pub.author | split: 'Michael Merrill' %}\n                            {{a[0]}}<span class=""author"">Michael Merrill</span>{{a[1]}}\n                            {% elsif pub.author contains ""Mike A. Merrill*"" %}\n                            {% assign a = pub.author | split: 'Mike A. Merrill' %}\n                            {{a[0]}}<span class=""author"">Mike A. Merrill*</span>{{a[1]}}\n                            {% elsif pub.author contains ""Mike A. Merrill"" %}\n                            {% assign a = pub.author | split: 'Mike A. Merrill' %}\n                            {{a[0]}}<span class=""author"">Mike A. Merrill</span>{{a[1]}}\n\n                            {% endif %}\n                        </p>\n                        <p><span class=""venue"">{{pub.venue}}</span>, {{pub.year}} {% if pub.pdf_path %}\n                            <a href=""{{pub.pdf_path}}"">[PDF]</a> {% endif %}\n                            {% for link in pub.other_links %}\n                            <a href=""{{link.url}}"">[{{link.name}}]</a>\n                            {% endfor %}\n                            {{pub.notes}}\n                        </p>\n                    </div>\n\n                </div>\n                {% endfor %}\n            </div>\n\n        </div>\n\n    </div>\n\n    <script src=""js/jquery.min.js""></script>\n    <script src=""js/bootstrap.min.js""></script>\n    <script src=""js/scripts.js""></script>\n</body>\n<footer>\n\n</footer>\n\n</html>-incorrect_about_file]#1",malicious
log-summary-date-ranges:test_malformed_and_forged_artifacts_fail[wrong_header_name]#1,malicious
protein-assembly:test_malformed_and_forged_artifacts_fail[empty_file]#1,malicious
write-compressor:test_hostile_streams_fail_closed_without_infrastructure_error[all_zeros]#1,malicious
