scope,benchmark,task,native_n,native_mean,native_sd,securebench_n,securebench_mean,securebench_sd,diff_b_minus_a
clean-f2p,deep-swe,anko-default-function-arguments,1,0.0,nan,1,1.0,nan,1.0
clean-f2p,deep-swe,csstree-shorthand-expansion-compression,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,deep-swe,ink-grid-box-layout,1,0.0,nan,1,1.0,nan,1.0
clean-f2p,deep-swe,mashumaro-flattened-dataclass-fields,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,deep-swe,meriyah-explicit-resource-declarations,1,0.0,nan,1,1.0,nan,1.0
clean-f2p,deep-swe,obsidian-linter-auto-table-of-contents,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,deep-swe,obsidian-linter-scoped-ignore-markers,1,0.0,nan,1,1.0,nan,1.0
clean-f2p,deep-swe,tengo-callable-instance-isolation,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,deep-swe,tengo-destructuring-bindings,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,deep-swe,tomlkit-toml-table-converters,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,deep-swe,true-myth-iterable-collection-combinators,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,bn-fit-modify,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,cancel-async-tasks,1,0.0,nan,1,1.0,nan,1.0
clean-f2p,terminal-bench,chess-best-move,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,terminal-bench,code-from-image,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,constraints-scheduling,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,count-dataset-tokens,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,crack-7z-hash,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,db-wal-recovery,1,1.0,nan,1,0.0,nan,-1.0
clean-f2p,terminal-bench,distribution-search,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,dna-assembly,1,0.0,nan,1,1.0,nan,1.0
clean-f2p,terminal-bench,dna-insert,1,1.0,nan,1,0.0,nan,-1.0
clean-f2p,terminal-bench,extract-moves-from-video,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,terminal-bench,feal-linear-cryptanalysis,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,terminal-bench,financial-document-processor,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,fix-git,1,0.0,nan,1,1.0,nan,1.0
clean-f2p,terminal-bench,gcode-to-text,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,git-leak-recovery,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,gpt2-codegolf,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,terminal-bench,headless-terminal,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,hf-model-inference,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,kv-store-grpc,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,log-summary-date-ranges,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,mteb-leaderboard,1,1.0,nan,1,0.0,nan,-1.0
clean-f2p,terminal-bench,mteb-retrieve,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,terminal-bench,protein-assembly,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,terminal-bench,raman-fitting,1,0.0,nan,1,0.0,nan,0.0
clean-f2p,terminal-bench,rstan-to-pystan,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,sqlite-db-truncate,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,vulnerable-secret,1,1.0,nan,1,1.0,nan,0.0
clean-f2p,terminal-bench,write-compressor,1,1.0,nan,1,1.0,nan,0.0
